c_accountid,d_observation_date,c_entity, n_account_balance ,d_acq_date,n_active_num,n_tel_notel,d_last_payment_date,n_pay_30,n_pay_60,n_pay_90,n_pay_180,n_pay_count_30,n_pay_count_60,n_pay_count_90,n_pay_count_180,c_type_of_portfolio_rap,d_last_sms_date,n_sms_count,d_rpc_date,n_deceased,n_bancrupcy_failed_lawsuits_etc,d_lawsuit_date,d_payment_order_date,d_title_day,d_execution_date,d_unsuccesfull_exe_date,d_maturity_date,n_in_dialler_obs_day,n_arrangement_active,d_inactivation_date,d_last_broken_date,c_subregion,gender,age,d_last_inbound_date,Target_Amount,Target
4180055,01/01/2022,Entity 1," 4,272.21 ",13/04/2018,2,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,16/07/2018,05/08/2018,06/10/2018,13/03/2021,01/07/2019,29/09/2015,1,0,,,Subregion_11,M,38,,0,0
4181550,01/01/2022,Entity 1, 766.68 ,13/04/2018,3,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,12,06/12/2021,0,0,,,,,,23/01/2015,1,0,,11/06/2021,Subregion_42,M,41,,100,1
4181564,01/01/2022,Entity 1, 333.79 ,13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,30/06/2015,1,0,,,Subregion_31,M,40,,0,0
4189842,01/01/2022,Entity 3, 437.13 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,10/12/2021,1,,0,0,22/07/2019,24/12/2019,11/04/2020,08/05/2020,,30/10/2016,1,0,,,Subregion_48,M,28,,0,0
4191571,01/01/2022,Entity 3, 616.21 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,23/07/2019,21/10/2019,17/12/2019,30/12/2019,,30/10/2016,1,0,,,Subregion_14,K,70,,0,0
4192990,01/01/2022,Entity 3, 659.00 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,27/12/2021,6,,0,0,23/07/2019,29/09/2019,30/11/2019,09/12/2019,07/08/2020,28/11/2016,1,0,,,Subregion_43,K,47,,0,0
4193116,01/01/2022,Entity 3," 1,051.09 ",02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,19/12/2021,3,,0,0,19/07/2019,26/11/2019,02/02/2020,29/02/2020,,22/07/2016,1,0,,24/12/2021,Subregion_5,K,30,,580,1
4194009,01/01/2022,Entity 3, 422.01 ,02/09/2018,2,1,,0,0,0,0,0,0,0,0,telecom,,0,22/11/2021,0,0,23/07/2019,23/11/2019,06/01/2020,20/01/2020,,28/10/2016,1,0,,,Subregion_28,M,67,,232.6,1
4195852,01/01/2022,Entity 3, 461.45 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,10/12/2021,3,,0,0,27/07/2019,01/10/2019,31/05/2020,05/06/2020,,23/09/2016,1,0,,,NULL,K,78,,0,0
4195926,01/01/2022,Entity 3, 630.28 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,23/07/2019,28/09/2019,18/11/2019,30/12/2019,27/03/2021,30/07/2016,1,0,,,Subregion_45,K,65,,0,0
4198883,01/01/2022,Entity 3, 412.78 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,10/12/2021,1,,0,0,23/07/2019,22/10/2019,21/12/2019,30/12/2019,,14/08/2016,1,0,,,Subregion_11,K,49,,0,0
4199737,01/01/2022,Entity 3, 646.50 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,23/07/2019,01/10/2019,19/11/2019,30/12/2019,,28/11/2016,1,0,,,Subregion_65,K,38,,0,0
4199799,01/01/2022,Entity 3, 397.34 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,,,,,,27/06/2016,1,0,,,Subregion_48,K,36,,0,0
4199808,01/01/2022,Entity 3, 411.90 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,6,,0,0,,,,,,21/02/2016,1,0,,,Subregion_26,K,37,,0,0
4199948,01/01/2022,Entity 3, 824.30 ,02/09/2018,3,1,21/11/2021,0,110,110,220,0,1,1,2,telecom,21/12/2021,5,,0,0,22/07/2019,26/04/2020,31/08/2020,14/12/2020,,22/08/2016,1,0,,,Subregion_65,M,44,,220,1
4187997,01/01/2022,Entity 3, 740.62 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,23/07/2019,06/10/2019,23/11/2019,08/02/2020,,28/08/2016,1,0,,,Subregion_49,M,57,,0,0
4191923,01/01/2022,Entity 3," 1,857.05 ",02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,13/09/2019,08/12/2019,26/07/2020,03/08/2021,,04/03/2016,1,0,,,Subregion_21,M,25,,0,0
4192016,01/01/2022,Entity 3," 1,287.74 ",02/09/2018,1,1,25/10/2021,0,0,100,200,0,0,1,3,telecom,21/12/2021,3,,0,0,,,,,,24/09/2016,1,0,,02/12/2021,Subregion_28,K,73,,50,1
4201488,01/01/2022,Entity 3, 384.56 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,6,,0,0,,,,,,22/03/2015,1,0,,,Subregion_48,K,38,,385,1
4201520,01/01/2022,Entity 3, 563.54 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,22/07/2019,,,,,28/11/2016,1,0,,,Subregion_48,K,33,,0,0
4201605,01/01/2022,Entity 3, 685.33 ,02/09/2018,2,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,23/07/2019,01/10/2019,02/12/2019,06/12/2019,,27/12/2016,1,0,,,Subregion_49,M,41,,0,0
4204789,01/01/2022,Entity 3, 815.20 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,16/02/2019,09/07/2019,21/03/2020,30/03/2020,07/05/2021,21/03/2016,1,0,,,Subregion_28,M,32,,0,0
4192594,01/01/2022,Entity 3, 394.11 ,02/09/2018,2,1,24/09/2021,0,0,0,50,0,0,0,1,telecom,10/12/2021,2,08/12/2021,0,0,22/07/2019,22/09/2019,23/11/2019,30/12/2019,,05/09/2016,1,0,,05/10/2021,NULL,K,32,,394.81,1
4192763,01/01/2022,Entity 3," 1,390.23 ",02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,,,,,,25/03/2016,1,0,,,Subregion_28,M,44,,0,0
4192875,01/01/2022,Entity 3," 1,410.61 ",02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,,,,,,27/02/2016,1,0,,,Subregion_58,M,37,,0,0
4197568,01/01/2022,Entity 3, 633.76 ,02/09/2018,2,1,,0,0,0,0,0,0,0,0,telecom,10/12/2021,1,,0,0,16/02/2019,03/03/2019,05/05/2019,17/06/2019,,22/05/2016,1,0,,,NULL,M,40,,636.35,1
4186491,01/01/2022,Entity 1," 2,277.04 ",13/04/2018,1,1,,0,0,0,0,0,0,0,0,telecom,27/12/2021,7,,0,0,27/11/2018,10/02/2019,,,,31/05/2014,1,0,,,Subregion_28,M,35,,0,0
4200129,01/01/2022,Entity 3, 534.89 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,22/07/2019,24/12/2019,24/02/2020,08/05/2020,26/06/2020,28/10/2016,1,0,,,Subregion_51,M,44,,0,0
4200135,01/01/2022,Entity 3," 1,324.12 ",02/09/2018,2,1,,0,0,0,0,0,0,0,0,telecom,10/12/2021,1,,0,0,17/08/2019,04/10/2019,20/03/2020,14/08/2021,,25/03/2016,1,0,,,Subregion_28,M,40,,0,0
4200181,01/01/2022,Entity 3, 319.13 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,10/12/2021,2,,0,0,23/07/2019,01/10/2019,04/01/2020,06/01/2020,,05/09/2016,1,0,,,Subregion_43,M,32,,0,0
4200187,01/01/2022,Entity 3," 1,284.97 ",02/09/2018,2,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,24/06/2019,10/08/2019,05/11/2019,17/11/2019,05/06/2020,26/06/2016,1,0,,,NULL,M,45,,1000,1
4200361,01/01/2022,Entity 3, 645.37 ,02/09/2018,2,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,8,,0,0,23/07/2019,,,,,30/12/2016,1,0,,,Subregion_48,M,33,10/12/2021,100,1
4195994,01/01/2022,Entity 3, 609.15 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,,0,,0,0,28/07/2019,21/10/2019,03/02/2020,08/02/2020,,22/05/2016,1,0,,,Subregion_43,M,53,,0,0
4196031,01/01/2022,Entity 3," 1,712.93 ",02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,21/07/2019,01/11/2019,21/12/2019,28/12/2019,24/03/2021,27/12/2016,1,0,,,Subregion_14,M,40,,0,0
4196846,01/01/2022,Entity 3, 975.37 ,02/09/2018,1,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,3,,0,0,16/02/2019,28/09/2019,17/01/2020,17/10/2021,18/08/2020,23/04/2016,1,0,,,Subregion_21,M,30,,0,0
4198624,01/01/2022,Entity 3," 2,694.78 ",02/09/2018,2,1,,0,0,0,0,0,0,0,0,telecom,21/12/2021,5,,0,0,,,,,,24/05/2016,1,0,,,NULL,M,28,,2699.1,1
